City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
272,Mizdah,LY,73.69,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
274,Severo-Kurilsk,RU,55.49,broken clouds,50.6789,156.125,Kak Doma
275,Kuusamo,FI,53.64,overcast clouds,65.9667,29.1833,Hotel Kuusanka
278,Yacuiba,BO,60.15,few clouds,-22.038,-63.6797,Hotel Monumental
279,Oromocto,CA,73.31,clear sky,45.8351,-66.4792,Days Inn by Wyndham Oromocto Conference Centre
280,Kodiak,US,62.11,broken clouds,57.79,-152.4072,Best Western Kodiak Inn
281,Ixtapa,MX,79.23,overcast clouds,20.7,-105.2,hotel la terminal
285,Acajutla,SV,79.45,overcast clouds,13.5928,-89.8275,Laureles
289,Jalpan,MX,73.98,broken clouds,21.2333,-99.4833,Hotel Mision Jalpan
292,Benguela,AO,63.64,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
293,Lapeer,US,76.95,clear sky,43.0514,-83.3188,"Holiday Inn Express Lapeer, an IHG Hotel"
295,Mporokoso,ZM,58.37,clear sky,-9.3727,30.125,Government Guest House
296,Dubbo,AU,57.33,broken clouds,-32.25,148.6167,Quality Inn Dubbo International
297,Lata,PT,69.08,clear sky,40.1629,-8.3327,Casa Maquia
300,Sao Filipe,CV,75.15,few clouds,14.8961,-24.4956,Hotel Xaguate
302,Manasa,IN,77.4,overcast clouds,24.4837,75.2687,Sameer patel
303,Mount Gambier,AU,56.05,clear sky,-37.8333,140.7667,The Commodore
304,Zhanaozen,KZ,79.61,clear sky,43.3,52.8,K.korabay 28A
306,Udachnyy,RU,55.45,overcast clouds,66.4167,112.4,Severnoye Siyaniye
308,Harper,LR,74.93,overcast clouds,4.375,-7.7169,Screensaver
309,San Ramon,US,79.48,clear sky,37.7799,-121.978,San Ramon Marriott
311,Vyazniki,RU,53.53,scattered clouds,56.25,42.1667,Motel' Vstrecha
313,Ponta Do Sol,PT,70.43,clear sky,32.6667,-17.1,Hotel do Campo
315,Monrovia,LR,75.47,light rain,6.3005,-10.7969,Sunset Inn
317,Port Shepstone,ZA,55.81,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
318,Flinders,AU,66.06,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
319,Ladybank,GB,53.55,few clouds,56.2742,-3.1239,The Lomond Hills Hotel
322,Port-Cartier,CA,74.88,overcast clouds,50.0334,-66.8654,Le Q'Artier
323,Tazovskiy,RU,48.34,clear sky,67.4667,78.7,TazHostel
324,Pisco,PE,60.85,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
326,Rio Tercero,AR,50.79,scattered clouds,-32.173,-64.1141,Hospedaje Las Violetas
327,Boguchany,RU,71.44,overcast clouds,58.3814,97.4531,Uyut
328,Tucuman,AR,51.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
329,Aldan,RU,70.56,overcast clouds,58.6031,125.3894,Aldan Guest House
332,Karpathos,GR,75.16,clear sky,35.507,27.2132,Alex
333,Banamba,ML,77.05,few clouds,13.55,-7.45,Kassela de Banamba
334,Okato,NZ,56.52,few clouds,-39.2,173.8833,Goodin Country Garden
338,Sao Luiz Gonzaga,BR,52.12,clear sky,-28.4083,-54.9608,"Hotel Ipê ""Sob nova Direção"""
340,Anadyr,RU,61.3,few clouds,64.75,177.4833,Отке17.ру — жильё для командированных
341,Talnakh,RU,47.21,clear sky,69.4865,88.3972,Talnakh Hotel
345,The Pas,CA,66.22,broken clouds,53.8251,-101.2541,Wescana Inn
349,Vardo,NO,49.98,fog,70.3705,31.1107,Vardø Hotel AS
352,Bonthe,SL,76.03,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
353,Kingsport,US,76.26,broken clouds,36.5484,-82.5618,MeadowView Conference Resort & Convention Center
354,Souillac,MU,68.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
355,Cortez,US,77.76,broken clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
356,Hovd,MN,69.75,light rain,48.0056,91.6419,Hotel Khovd
357,Presidencia Roque Saenz Pena,AR,59.27,clear sky,-26.7852,-60.4388,Hotel Gualok
358,Mozarlandia,BR,74.44,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
359,Labytnangi,RU,56.8,few clouds,66.6572,66.4183,Priuralye Hotel
362,Hervey Bay,AU,65.84,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
364,Dalvik,IS,48.13,overcast clouds,65.9702,-18.5286,Dalvík Hostel
365,Nacala,MZ,66.9,scattered clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
366,Manavalakurichi,IN,78.85,overcast clouds,8.1333,77.3,Jebinrio home
367,Longyearbyen,SJ,48.65,overcast clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
368,Royal Leamington Spa,GB,60.46,overcast clouds,52.3,-1.5333,"Holiday Inn Leamington Spa - Warwick, an IHG Hotel"
370,Rosario,AR,57.97,clear sky,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
371,Batemans Bay,AU,59.09,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
372,Mandalgovi,MN,76.32,overcast clouds,45.7625,106.2708,В.Ганбат
376,Miraflores,MX,67.03,light rain,19.2167,-98.8083,Hotel Mansión
378,Cap Malheureux,MU,66.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
381,Raudeberg,NO,52.47,scattered clouds,61.9875,5.1352,Nordre Silda.
382,Pishin,PK,75.76,clear sky,30.5803,66.9961,City Hotel Pishin
383,Muros,ES,70.16,clear sky,42.7762,-9.0603,Apartment Av. Castelao
385,Dedougou,BF,70.47,heavy intensity rain,12.4667,-3.4667,Hôtel Bon Séjour
386,Broken Hill,AU,55.54,clear sky,-31.95,141.4333,Royal Exchange Hotel
387,Adelaide,AU,59.41,few clouds,-34.9333,138.6,The Chancellor on Currie
391,Vesyegonsk,RU,51.98,overcast clouds,58.664,37.2604,Gostinitsa DELI
392,Vyborg,RU,58.33,broken clouds,60.7076,28.7528,Letuchaya Mysh Hotel
393,Koumac,NC,74.75,broken clouds,-20.5667,164.2833,Le Monitel
395,Coquimbo,CL,53.33,few clouds,-29.9533,-71.3436,Hotel San Juan
397,Touros,BR,76.53,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
399,Magam,IN,63.03,overcast clouds,34.0833,74.5833,The Marigold Resort & Mirch Masala Restaurant
400,Kachiry,KZ,67.42,few clouds,53.0675,76.1036,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
401,Takoradi,GH,73.81,overcast clouds,4.8845,-1.7554,Raybow International Hotel
402,Nelson Bay,AU,61.09,light rain,-32.7167,152.15,Mantra Nelson Bay
404,Antofagasta,CL,56.48,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
409,Shieli,KZ,79.36,few clouds,44.1667,66.75,Gostinitsa Aybek Shieli
411,Algiers,DZ,73.22,few clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
412,Khatanga,RU,48.58,broken clouds,71.9667,102.5,"""Khatanga"""
413,Namibe,AO,56.73,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
414,Florianopolis,BR,58.23,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
417,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
418,Hukuntsi,BW,57.04,overcast clouds,-24.0,21.75,Entabeni Hotel
420,Onverwacht,SR,78.85,scattered clouds,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
421,Nyurba,RU,75.45,overcast clouds,63.2842,118.3319,"Гостиница ""Comfort"""
423,Bubaque,GW,79.02,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
424,Victor Harbor,AU,57.0,few clouds,-35.5667,138.6167,McCracken Country Club
425,Westport,US,77.76,overcast clouds,41.1415,-73.3579,The Westport Inn
427,Coolum Beach,AU,63.1,overcast clouds,-26.5333,153.1,Coolum Beach Resort
429,Karratha,AU,77.09,broken clouds,-20.7377,116.8463,ibis Styles Karratha
430,Deputatskiy,RU,68.72,overcast clouds,69.3,139.9,Baza Otdykha
432,Carauari,BR,78.73,overcast clouds,-4.8828,-66.8958,Hotel Fellip
433,Wyndham,US,75.0,mist,37.6985,-77.6125,Hilton Richmond Hotel & Spa/Short Pump
435,Beira,MZ,64.49,few clouds,-19.8436,34.8389,Beira Terrace Hotel
436,Superior,US,73.49,thunderstorm,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
437,Shelburne,CA,73.24,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
438,Tigil,RU,69.1,few clouds,57.8,158.6667,Tigil'
440,Correntina,BR,71.28,clear sky,-13.3433,-44.6367,Hotel Pousada dos Sonhos
441,Calarasi,MD,66.31,overcast clouds,47.2544,28.3081,Hotel-Diana's
443,Port Lincoln,AU,59.76,clear sky,-34.7333,135.8667,Port Lincoln Hotel
444,Kambove,CD,58.41,clear sky,-10.8764,26.5969,Couvant des soeurs catholiques
