City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Narsaq,GL,60.9167,-46.05,48.42,89,100,4.7,overcast clouds
216,Yellowknife,CA,62.456,-114.3525,66.72,42,40,8.05,scattered clouds
217,Kyra,RU,49.5776,111.9753,74.35,51,31,2.98,scattered clouds
218,Chuy,UY,-33.6971,-53.4616,47.03,84,51,5.14,broken clouds
219,Inta,RU,66.0317,60.1659,60.8,58,14,5.93,few clouds
220,Shiroishi,JP,38.0033,140.6183,95.27,53,79,4.97,broken clouds
221,Mopipi,BW,-21.1833,24.8833,57.96,26,0,10.11,clear sky
222,Nhulunbuy,AU,-12.2333,136.7667,83.01,65,40,14.97,scattered clouds
223,Airai,TL,-8.9266,125.4092,72.84,53,52,2.66,broken clouds
224,Salekhard,RU,66.53,66.6019,56.46,66,18,7.02,few clouds
225,Shache,CN,38.4167,77.2406,77.09,28,100,16.17,overcast clouds
226,Tautira,PF,-17.7333,-149.15,77.13,67,76,23.13,broken clouds
227,Elmira,US,42.0898,-76.8077,73.72,71,0,0.0,clear sky
228,Chapais,CA,49.7834,-74.8492,62.38,83,43,0.4,scattered clouds
229,Kushmurun,KZ,52.4503,64.6311,64.94,77,10,7.29,clear sky
230,Viedma,AR,-40.8135,-62.9967,45.36,71,100,6.31,overcast clouds
231,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,76.32,87,88,0.54,overcast clouds
232,San Policarpo,PH,12.1791,125.5072,85.17,71,100,9.31,light rain
233,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,88,20,4.88,few clouds
234,Havelock,US,34.8791,-76.9013,80.58,90,100,9.91,overcast clouds
235,Barrow,US,71.2906,-156.7887,35.62,87,100,9.22,overcast clouds
236,Isla Mujeres,MX,21.2311,-86.731,84.16,84,9,11.21,clear sky
237,Kavieng,PG,-2.5744,150.7967,85.26,69,91,15.46,overcast clouds
238,Lasa,IT,46.6166,10.7002,65.28,87,0,4.29,clear sky
239,Akureyri,IS,65.6835,-18.0878,48.13,57,75,5.75,broken clouds
240,Mar Del Plata,AR,-38.0023,-57.5575,54.88,84,0,3.0,clear sky
241,Kaliwungu,ID,-6.9615,110.2531,82.35,69,20,10.36,few clouds
242,Tura,IN,25.5198,90.2201,74.1,98,100,5.44,moderate rain
243,Huarmey,PE,-10.0681,-78.1522,62.53,84,15,8.97,few clouds
244,Shakawe,BW,-18.3667,21.85,55.58,27,0,6.31,clear sky
245,Swellendam,ZA,-34.0226,20.4417,41.76,76,0,1.39,clear sky
246,Rundu,NA,-17.9333,19.7667,54.63,30,2,4.54,clear sky
247,Te Anau,NZ,-45.4167,167.7167,46.11,91,100,7.87,overcast clouds
248,Ketchikan,US,55.3422,-131.6461,64.87,88,100,4.61,overcast clouds
249,Yalta,UA,44.5,34.1667,74.89,67,1,6.2,light rain
250,Hefei,CN,31.8639,117.2808,87.82,70,20,4.47,few clouds
251,Walvis Bay,NA,-22.9575,14.5053,55.09,71,14,10.36,few clouds
252,Merauke,ID,-8.4667,140.3333,81.97,75,96,10.76,overcast clouds
253,Hanting,CN,36.7708,119.2108,86.09,70,59,8.97,broken clouds
254,Kaupanger,NO,61.1845,7.2404,54.1,93,100,4.05,overcast clouds
255,Kalur Kot,PK,32.1564,71.2594,80.49,68,12,6.91,few clouds
256,Paraiso,CR,9.8383,-83.8656,68.86,95,74,3.06,broken clouds
257,Mount Isa,AU,-20.7333,139.5,80.37,21,0,5.75,clear sky
258,Saint Charles,US,38.7667,-90.7335,80.91,76,20,4.61,few clouds
259,Nuevo Progreso,MX,23.1667,-97.95,82.54,79,2,5.84,clear sky
260,Guerrero Negro,MX,27.9769,-114.0611,75.22,65,16,14.2,few clouds
261,Jumla,NP,29.2747,82.1838,63.66,93,99,1.45,overcast clouds
262,Sangre Grande,TT,10.5835,-61.1177,78.76,91,75,10.2,broken clouds
263,Koungou,YT,-12.7336,45.2042,71.31,94,0,6.91,clear sky
264,Hingatungan,PH,10.584,125.1852,84.87,70,100,5.84,overcast clouds
265,Richards Bay,ZA,-28.783,32.0377,60.44,76,100,8.48,light rain
266,Road Town,VG,18.4167,-64.6167,82.49,83,40,11.5,scattered clouds
267,Mandan,US,46.8267,-100.8896,74.8,66,0,5.75,clear sky
268,Alofi,NU,-19.0595,-169.9187,80.49,74,3,13.8,clear sky
269,Poum,NC,-20.2333,164.0167,73.29,71,96,11.56,overcast clouds
270,Laguna,US,38.421,-121.4238,87.03,54,0,12.66,clear sky
271,Pella,RU,59.7775,30.8181,57.96,84,100,4.45,overcast clouds
272,Mizdah,LY,31.4451,12.9801,73.69,54,1,2.44,clear sky
273,Qeshm,IR,26.9581,56.2719,87.69,82,92,5.1,overcast clouds
274,Severo-Kurilsk,RU,50.6789,156.125,55.49,78,59,10.25,broken clouds
275,Kuusamo,FI,65.9667,29.1833,53.64,94,100,3.44,overcast clouds
276,Ouadda,CF,8.0777,22.4007,67.35,99,100,2.44,light rain
277,Hithadhoo,MV,-0.6,73.0833,80.87,73,100,16.44,overcast clouds
278,Yacuiba,BO,-22.038,-63.6797,60.15,64,20,4.76,few clouds
279,Oromocto,CA,45.8351,-66.4792,73.31,83,0,6.91,clear sky
280,Kodiak,US,57.79,-152.4072,62.11,72,75,5.75,broken clouds
281,Ixtapa,MX,20.7,-105.2,79.23,86,100,1.01,overcast clouds
282,Shingu,JP,33.7333,135.9833,89.74,62,48,9.89,scattered clouds
283,Kamenka,RU,51.3223,42.7678,60.37,69,96,8.57,overcast clouds
284,Fethiye,TR,36.6217,29.1164,80.47,40,0,4.52,clear sky
285,Acajutla,SV,13.5928,-89.8275,79.45,85,98,7.4,overcast clouds
286,Beringovskiy,RU,63.05,179.3167,50.14,62,100,4.92,overcast clouds
287,Beyneu,KZ,45.3167,55.2,80.04,39,37,8.23,scattered clouds
288,Bengkulu,ID,-3.8004,102.2655,81.0,73,82,2.21,broken clouds
289,Jalpan,MX,21.2333,-99.4833,73.98,73,84,4.59,broken clouds
290,Port Blair,IN,11.6667,92.75,83.89,78,100,14.45,overcast clouds
291,Masuguru,TZ,-11.3667,38.4167,66.65,78,0,2.53,clear sky
292,Benguela,AO,-12.5763,13.4055,63.64,88,25,1.9,scattered clouds
293,Lapeer,US,43.0514,-83.3188,76.95,56,0,0.0,clear sky
294,Tsuruoka,JP,38.7217,139.8217,87.84,70,75,2.3,broken clouds
295,Mporokoso,ZM,-9.3727,30.125,58.37,53,6,6.26,clear sky
296,Dubbo,AU,-32.25,148.6167,57.33,72,75,8.05,broken clouds
297,Lata,PT,40.1629,-8.3327,69.08,58,0,2.44,clear sky
298,Sibolga,ID,1.7427,98.7792,81.55,76,100,0.27,moderate rain
299,Labuhan,ID,-6.8844,112.2051,81.86,68,32,5.39,scattered clouds
300,Sao Filipe,CV,14.8961,-24.4956,75.15,76,18,6.22,few clouds
301,Hecun,CN,36.5333,114.1111,86.79,60,0,3.8,clear sky
302,Manasa,IN,24.4837,75.2687,77.4,84,92,13.69,overcast clouds
303,Mount Gambier,AU,-37.8333,140.7667,56.05,70,7,14.12,clear sky
304,Zhanaozen,KZ,43.3,52.8,79.61,33,0,6.87,clear sky
305,Prince George,CA,53.9166,-122.753,87.26,39,20,4.61,few clouds
306,Udachnyy,RU,66.4167,112.4,55.45,87,100,17.18,overcast clouds
307,Cabo San Lucas,MX,22.8909,-109.9124,84.51,81,27,3.0,scattered clouds
308,Harper,LR,4.375,-7.7169,74.93,79,100,12.82,overcast clouds
309,San Ramon,US,37.7799,-121.978,79.48,66,0,17.27,clear sky
310,Thung Song,TH,8.1645,99.6804,80.46,85,100,3.71,light rain
311,Vyazniki,RU,56.25,42.1667,53.53,80,30,4.88,scattered clouds
312,Henties Bay,NA,-22.116,14.2845,54.27,70,95,6.11,overcast clouds
313,Ponta Do Sol,PT,32.6667,-17.1,70.43,78,3,3.85,clear sky
314,Dalbandin,PK,28.8947,64.4101,87.26,24,5,7.81,clear sky
315,Monrovia,LR,6.3005,-10.7969,75.47,85,100,8.41,light rain
316,Zaranj,AF,30.9667,61.8833,85.96,19,0,24.27,clear sky
317,Port Shepstone,ZA,-30.7414,30.455,55.81,67,8,7.2,clear sky
318,Flinders,AU,-34.5833,150.8552,66.06,53,7,10.0,clear sky
319,Ladybank,GB,56.2742,-3.1239,53.55,91,20,2.3,few clouds
320,Sonoita,MX,31.85,-112.8333,91.87,41,35,8.59,scattered clouds
321,Yangambi,CD,0.8102,24.4336,69.04,98,100,2.64,overcast clouds
322,Port-Cartier,CA,50.0334,-66.8654,74.88,88,92,5.32,overcast clouds
323,Tazovskiy,RU,67.4667,78.7,48.34,69,8,14.72,clear sky
324,Pisco,PE,-13.7,-76.2167,60.85,82,100,9.22,overcast clouds
325,Kharsia,IN,21.9667,83.1167,84.52,70,100,0.74,overcast clouds
326,Rio Tercero,AR,-32.173,-64.1141,50.79,40,34,3.49,scattered clouds
327,Boguchany,RU,58.3814,97.4531,71.44,84,100,6.42,overcast clouds
328,Tucuman,AR,-26.8241,-65.2226,51.8,82,3,6.91,clear sky
329,Aldan,RU,58.6031,125.3894,70.56,62,100,5.57,overcast clouds
330,Longonjo,AO,-12.9067,15.2533,54.57,74,0,1.99,clear sky
331,Kahului,US,20.8947,-156.47,87.82,59,20,25.32,few clouds
332,Karpathos,GR,35.507,27.2132,75.16,83,0,24.16,clear sky
333,Banamba,ML,13.55,-7.45,77.05,72,16,9.01,few clouds
334,Okato,NZ,-39.2,173.8833,56.52,63,12,9.89,few clouds
335,Fallon,US,39.4735,-118.7774,95.92,18,75,18.41,broken clouds
336,Qaqortoq,GL,60.7167,-46.0333,44.85,95,100,3.96,overcast clouds
